Industry Name,Number of Firms,CAGR in Net Income- Last 5 years,CAGR in Revenues- Last 5 years,Expected Growth in Revenues - Next 2 years,Expected Growth in Revenues - Next 5 years,Expected Growth in EPS - Next 5 years
Advertising,154,3.99%,-1.57%,21.87%,24.92%,55.23%
Aerospace/Defense,131,17.87%,10.94%,24.78%,12.51%,33.35%
Air Transport,78,2.10%,-0.93%,37.84%,10.61%,15.54%
Apparel,936,7.89%,2.06%,12.06%,10.46%,19.68%
Auto & Truck,86,14.49%,4.74%,17.44%,12.10%,13.69%
Auto Parts,545,7.03%,6.52%,18.70%,27.65%,31.96%
Bank (Money Center),459,13.08%,12.02%,13.55%,7.95%,14.42%
Banks (Regional),100,13.32%,9.59%,7.73%,15.34%,12.69%
Beverage (Alcoholic),126,14.31%,7.11%,11.79%,9.94%,16.79%
Beverage (Soft),40,10.52%,2.52%,10.96%,10.67%,14.90%
Broadcasting,63,4.98%,4.77%,3.10%,3.63%,1.99%
Brokerage & Investment Banking,431,11.37%,8.81%,11.35%,10.49%,11.94%
Building Materials,255,11.77%,5.15%,10.73%,10.94%,23.93%
Business & Consumer Services,338,5.00%,4.99%,16.79%,10.09%,19.55%
Cable TV,32,4.52%,1.07%,6.55%,#DIV/0!,#DIV/0!
Chemical (Basic),707,6.36%,8.24%,11.31%,6.01%,18.70%
Chemical (Diversified),30,16.53%,12.57%,1.19%,4.87%,28.20%
Chemical (Specialty),656,10.54%,8.54%,11.91%,13.42%,13.06%
Coal & Related Energy,95,13.21%,12.75%,-3.09%,3.95%,-8.46%
Computer Services,603,11.59%,10.07%,18.81%,10.01%,22.26%
Computers/Peripherals,228,7.67%,-0.57%,9.68%,9.00%,21.36%
Construction Supplies,552,8.61%,7.02%,12.74%,7.71%,27.83%
Diversified,212,5.17%,8.04%,4.47%,4.88%,18.95%
Drugs (Biotechnology),332,3.42%,18.44%,66.00%,61.30%,20.00%
Drugs (Pharmaceutical),717,10.61%,7.83%,55.78%,30.56%,22.10%
Education,155,9.58%,6.89%,14.34%,8.14%,46.61%
Electrical Equipment,726,14.06%,8.51%,24.02%,17.10%,33.01%
Electronics (Consumer & Office),77,5.88%,3.26%,17.06%,20.53%,29.33%
Electronics (General),1024,7.64%,3.99%,18.86%,22.73%,18.12%
Engineering/Construction,890,5.62%,4.05%,18.84%,10.13%,19.99%
Entertainment,335,11.44%,3.49%,22.95%,13.46%,28.88%
Environmental & Waste Services,203,7.59%,2.62%,15.96%,6.17%,14.10%
Farming/Agriculture,297,20.80%,9.44%,6.54%,11.62%,5.11%
Financial Svcs. (Non-bank & Insurance),672,11.41%,11.43%,15.79%,12.26%,20.87%
Food Processing,957,11.96%,8.79%,11.08%,7.62%,16.35%
Food Wholesalers,103,18.52%,9.58%,11.23%,16.14%,16.25%
Furn/Home Furnishings,275,5.20%,3.09%,8.32%,10.00%,15.92%
Green & Renewable Energy,137,9.12%,8.91%,16.54%,9.15%,10.96%
Healthcare Products,343,11.38%,11.64%,26.79%,41.28%,3.93%
Healthcare Support Services,217,9.02%,12.90%,13.81%,13.02%,22.11%
Heathcare Information and Technology,129,17.40%,8.54%,26.36%,20.33%,24.52%
Homebuilding,43,7.75%,7.90%,22.12%,7.41%,26.42%
Hospitals/Healthcare Facilities,147,12.62%,10.09%,14.87%,11.45%,22.07%
Hotel/Gaming,412,4.29%,0.40%,43.35%,16.30%,49.89%
Household Products,309,5.43%,3.98%,13.03%,8.43%,20.00%
Information Services,39,12.22%,-0.04%,10.47%,8.95%,12.58%
Insurance (General),135,12.10%,8.34%,13.19%,11.08%,15.10%
Insurance (Life),82,8.88%,10.53%,15.54%,-1.33%,25.24%
Insurance (Prop/Cas.),144,14.66%,9.44%,8.66%,7.71%,20.31%
Investments & Asset Management,481,15.64%,8.95%,17.47%,6.81%,26.64%
Machinery,911,10.31%,6.57%,24.28%,9.79%,23.45%
Metals & Mining,331,10.08%,9.34%,13.58%,0.75%,21.19%
Office Equipment & Services,71,5.99%,7.79%,13.29%,#DIV/0!,16.45%
Oil/Gas (Integrated),16,9.11%,10.07%,2.46%,3.05%,-0.43%
Oil/Gas (Production and Exploration),103,15.79%,25.41%,39.09%,31.44%,39.52%
Oil/Gas Distribution,111,11.75%,8.76%,11.05%,8.39%,15.92%
Oilfield Svcs/Equip.,225,11.04%,8.57%,5.74%,4.45%,13.95%
Packaging & Container,320,4.05%,4.15%,10.23%,15.66%,14.05%
Paper/Forest Products,188,4.66%,1.57%,5.70%,3.09%,11.82%
Power,321,10.52%,9.68%,6.50%,2.21%,12.51%
Precious Metals,62,24.07%,7.96%,2.78%,323.37%,-13.54%
Publishing & Newspapers,170,2.32%,1.96%,11.21%,#DIV/0!,#DIV/0!
R.E.I.T.,213,6.19%,6.79%,5.92%,4.76%,18.54%
Real Estate (Development),773,3.11%,10.27%,8.76%,4.55%,7.85%
Real Estate (General/Diversified),218,-0.61%,0.44%,16.45%,0.91%,16.31%
Real Estate (Operations & Services),374,7.16%,10.07%,15.18%,5.39%,13.90%
Recreation,143,8.85%,4.67%,14.63%,16.57%,15.38%
Reinsurance,29,14.83%,8.24%,12.52%,7.67%,26.53%
Restaurant/Dining,158,6.64%,-0.63%,15.31%,12.92%,26.63%
Retail (Automotive),107,-3.89%,2.64%,6.12%,7.12%,15.20%
Retail (Building Supply),46,-4.04%,0.35%,5.70%,9.66%,9.80%
Retail (Distributors),673,12.33%,13.65%,9.75%,12.50%,16.17%
Retail (General),146,-2.05%,-2.40%,24.32%,9.87%,15.41%
Retail (Grocery and Food),86,7.86%,5.65%,6.86%,7.23%,40.14%
Retail (REITs),40,-3.80%,4.94%,4.92%,3.49%,4.13%
Retail (Special Lines),251,5.63%,1.53%,13.02%,10.92%,23.13%
Rubber& Tires,72,3.80%,2.69%,8.15%,5.12%,26.69%
Semiconductor,513,14.85%,4.91%,13.84%,17.17%,19.19%
Semiconductor Equip,277,9.98%,7.69%,18.51%,16.31%,16.82%
Shipbuilding & Marine,240,19.52%,8.94%,0.26%,13.23%,-6.91%
Shoe,58,2.98%,-3.91%,5.92%,9.56%,12.55%
Software (Entertainment),66,7.49%,6.57%,17.60%,11.77%,19.68%
Software (Internet),42,11.24%,4.63%,13.82%,12.46%,26.38%
Software (System & Application),521,7.47%,9.04%,19.39%,17.19%,27.06%
Steel,536,12.88%,6.36%,10.00%,8.68%,19.47%
Telecom (Wireless),63,2.38%,5.62%,7.21%,4.09%,15.82%
Telecom. Equipment,299,8.42%,2.55%,17.31%,4.89%,30.27%
Telecom. Services,140,10.50%,5.50%,7.25%,5.41%,15.41%
Tobacco,31,11.08%,5.08%,5.23%,13.48%,11.24%
Transportation,296,9.84%,4.89%,9.02%,8.46%,14.78%
Transportation (Railroads),15,1.29%,1.36%,14.61%,9.28%,17.91%
Trucking,55,22.21%,0.36%,19.45%,13.00%,48.80%
Utility (General),14,18.98%,0.24%,1.53%,4.56%,18.25%
Utility (Water),71,4.48%,6.08%,12.24%,8.34%,13.14%
Total Market,25637,9.41%,6.91%,16.91%,14.89%,19.15%
Total Market (without financials),23133,9.05%,6.55%,17.22%,15.48%,19.19%
