Currency,Govt Bond Rate 12/31/22,Bond Rating (Moody's),Riskfree Rate,Default Spread based on rating,Risk free Rate
Australian $,3.96%,Aaa,3.96%,0.00%,3.96%
Brazilian Reai,10.35%,Ba2,7.07%,3.28%,7.07%
British Pound,3.53%,Aa3,2.88%,0.65%,2.88%
Bulgarian Lev,4.50%,Baa1,2.76%,1.74%,2.76%
Canadian $,3.09%,Aaa,3.09%,0.00%,3.09%
Chilean Peso,5.35%,A2,4.43%,0.92%,4.43%
Chinese Yuan,2.58%,A1,1.81%,0.77%,1.81%
Colombian Peso,9.88%,Baa2,7.80%,2.07%,7.80%
Croatian Kuna,3.31%,Baa2,1.23%,2.07%,1.23%
Czech Koruna,3.72%,Aa3,3.07%,0.65%,3.07%
Danish Krone,2.22%,Aaa,2.22%,0.00%,2.22%
Euro,2.03%,Aaa,2.03%,0.00%,2.03%
HK $,3.27%,Aa3,2.61%,0.65%,2.61%
Hungarian Forint,5.89%,Baa2,3.82%,2.07%,3.82%
Iceland Krona,6.98%,A2,6.06%,0.92%,6.06%
Indian Rupee,7.18%,Baa3,4.78%,2.39%,4.78%
Indonesian Rupiah,6.49%,Baa2,4.41%,2.07%,4.41%
Israeli Shekel,3.96%,A1,3.19%,0.77%,3.19%
Japanese Yen,0.62%,A1,-0.15%,0.77%,-0.15%
Kenyan Shilling,17.72%,B3,10.64%,7.08%,10.64%
Korean Won,3.18%,Aa2,2.64%,0.54%,2.64%
Malyasian Ringgit,3.73%,A3,2.43%,1.31%,2.43%
Mexican Peso,9.07%,Baa2,7.00%,2.07%,7.00%
Nigerian Naira,14.58%,Caa1,6.41%,8.17%,6.41%
Norwegian Krone,3.28%,Aaa,3.28%,0.00%,3.28%
NZ $,4.39%,Aaa,4.39%,0.00%,4.39%
Pakistani Rupee,15.08%,Caa3,4.18%,10.90%,4.18%
Peruvian Sol,5.87%,Baa1,4.13%,1.74%,4.13%
Phillipine Peso,6.02%,Baa2,3.95%,2.07%,3.95%
Polish Zloty,5.25%,A2,4.33%,0.92%,4.33%
Qatari Dinar,4.07%,Aa3,3.42%,0.65%,3.42%
Romanian Lev,6.30%,Baa3,3.91%,2.39%,3.91%
Russian Ruble,12.30%,Baa3,9.91%,2.39%,9.91%
Singapore $,2.70%,Aaa,2.70%,0.00%,2.70%
South African Rand,9.77%,Ba2,6.49%,3.28%,6.49%
Swedish Krona,2.07%,Aaa,2.07%,0.00%,2.07%
Swiss Franc,0.70%,Aaa,0.70%,0.00%,0.70%
Taiwanese $,1.17%,Aa3,0.52%,0.65%,0.52%
Thai Baht,2.74%,Baa1,1.00%,1.74%,1.00%
Turkish Lira,23.69%,B3,16.61%,7.08%,16.61%
US $,3.85%,Aaa,3.85%,0.00%,3.85%
Vietnamese Dong,2.39%,Ba2,-0.89%,3.28%,-0.89%
Zambian kwacha,25.50%,Caa3,14.60%,10.90%,14.60%
