Country,Corporate Tax Rate
Abu Dhabi,15.00%
Albania,15.00%
Algeria,15.00%
Andorra (Principality of),18.98%
Angola,25.00%
Anguilla,25.23%
Antigua & Barbuda,25.23%
Argentina,35.00%
Armenia,18.00%
Aruba,25.00%
Australia,30.00%
Austria,24.00%
Azerbaijan,20.00%
Bahamas,0.00%
Bahrain,0.00%
Bangladesh,30.00%
Barbados,5.50%
Belarus,18.00%
Belgium,25.00%
Belize,28.53%
Benin,30.00%
Bermuda,0.00%
Bolivia,25.00%
Bosnia and Herzegovina,10.00%
Botswana,22.00%
Brazil,34.00%
British Virgin Islands,25.23%
Brunei,34.00%
Bulgaria,10.00%
Burkina Faso,28.00%
Cambodia,20.00%
Cameroon,33.00%
Canada,26.50%
Cape Verde,0.00%
Cayman Islands,0.00%
Channel Islands,24.78%
Chile,27.00%
China,25.00%
Colombia,35.00%
Congo (Democratic Republic,30.00%
Congo (Republic of),28.00%
Cook Islands,29.74%
Costa Rica,30.00%
Croatia,18.00%
Cuba,28.53%
Curaçao,22.00%
Cyprus,12.50%
Czech Republic,19.00%
Denmark,22.00%
Dominican Republic,27.00%
Ecuador,25.00%
Egypt,22.50%
El Salvador,30.00%
Estonia,20.00%
Ethiopia,30.00%
Falkland Islands,31.55%
Fiji,20.00%
Finland,20.00%
France,25.00%
French Guiana,31.55%
Gabon,30.00%
Gambia,30.00%
Georgia,15.00%
Germany,30.00%
Ghana,25.00%
Gibraltar,24.78%
Greece,22.00%
Greenland,24.78%
Guatemala,25.00%
Guernsey (States of),0.00%
Guinea,0.00%
Guinea-Bissau,0.00%
Guyana,0.00%
Haiti,0.00%
Honduras,25.00%
Hong Kong,16.50%
Hungary,9.00%
Iceland,20.00%
India,30.00%
Indonesia,22.00%
Iran,22.00%
Iraq,15.00%
Ireland,12.50%
Isle of Man,0.00%
Israel,23.00%
Italy,24.00%
Ivory Coast,25.00%
Jamaica,25.00%
Japan,30.62%
Jersey (States of),0.00%
Jordan,20.00%
Kazakhstan,20.00%
Kenya,30.00%
"Korea, D.P.R.",25.00%
Kuwait,15.00%
Kyrgyzstan,10.00%
Laos,26.86%
Latvia,20.00%
Lebanon,17.00%
Liberia,17.00%
Libya,17.00%
Liechtenstein,12.50%
Lithuania,15.00%
Luxembourg,24.94%
Macau,26.86%
Macedonia,10.00%
Madagascar,10.00%
Malawi,10.00%
Malaysia,24.00%
Maldives,26.86%
Mali,26.86%
Malta,35.00%
Martinique,25.23%
Mauritius,15.00%
Mexico,30.00%
Moldova,12.00%
Monaco,24.78%
Mongolia,25.00%
Montenegro,15.00%
Montserrat,28.53%
Morocco,32.00%
Mozambique,32.00%
Myanmar,32.00%
Namibia,32.00%
Nepal,25.00%
Netherlands,25.80%
Netherlands Antilles,25.23%
New Zealand,28.00%
Nicaragua,30.00%
Niger,26.86%
Nigeria,30.00%
Norway,22.00%
Oman,15.00%
Pakistan,29.00%
Palestinian Authority,17.00%
Panama,25.00%
Papua New Guinea,30.00%
Paraguay,10.00%
Peru,29.50%
Philippines,25.00%
Poland,19.00%
Portugal,21.00%
Qatar,10.00%
Ras Al Khaimah (Emirate of),0.00%
Reunion,25.34%
Romania,16.00%
Russia,20.00%
Rwanda,30.00%
Saint Lucia,25.23%
Saudi Arabia,20.00%
Senegal,30.00%
Serbia,15.00%
Sharjah,0.00%
Sierra Leone,0.00%
Singapore,17.00%
Slovakia,21.00%
Slovenia,19.00%
Solomon Islands,30.00%
Somalia,30.00%
South Africa,27.00%
South Korea,25.00%
Spain,25.00%
Sri Lanka,24.00%
St. Maarten,28.53%
St. Vincent & the Grenadines,28.53%
Sudan,28.53%
Suriname,36.00%
Swaziland,27.50%
Sweden,20.60%
Switzerland,14.60%
Syria,14.60%
Taiwan,20.00%
Tajikistan,18.00%
Tanzania,30.00%
Thailand,20.00%
Togo,26.86%
Trinidad &' Tobago,30.00%
Tunisia,15.00%
Turkey,25.00%
Turks & Caicos Islands,0.00%
Uganda,30.00%
Ukraine,18.00%
United Arab Emirates,25.00%
United Kingdom,25.00%
United States,25.00%
Uruguay,25.00%
Uzbekistan,15.00%
Venezuela,34.00%
Vietnam,20.00%
Yemen,20.00%
Zambia,35.00%
Zimbabwe,35.00%
